Index,Country,Cities,DateTime,Latitude,Longitude,Weather,Humidity,Temperature,Max Temperature,Cloudiness,Wind Speed
98,KE,Siaya,1657450102,0.0612,34.2882,broken clouds,46,24.79,24.79,66,4.04
99,US,Saint George,1657450102,37.1041,-113.5841,clear sky,24,27.47,28.77,0,1.54
100,GH,Esim,1657450102,4.8699,-2.2405,overcast clouds,70,26.36,26.36,100,4.55
101,KI,Bairiki Village,1657450103,1.3292,172.9752,light rain,83,27,27,20,4.12
102,GL,Tasiilaq,1657450103,65.6145,-37.6368,overcast clouds,82,6.09,6.09,86,2.99
103,ZM,Mbala,1657450103,-8.8402,31.3659,clear sky,31,23.35,23.35,7,1.06
104,ID,Labuhan,1657450103,-6.8844,112.2051,scattered clouds,70,27.23,27.23,48,2.78
105,PT,Vila Franca do Campo,1657450103,37.7167,-25.4333,overcast clouds,69,21.78,21.78,87,2.9
106,PT,Ponta do Sol,1657450103,32.6667,-17.1,clear sky,60,27.29,27.29,4,1.48
107,ZA,Port Elizabeth,1657449914,-33.918,25.5701,clear sky,72,17.78,18.16,0,3.6
108,NO,Havøysund,1657450103,70.9963,24.6622,few clouds,76,11.13,11.13,16,6.05
109,VE,San Felipe,1657450103,10.3399,-68.7425,overcast clouds,95,22.73,22.73,90,0.52
110,CA,Torbay,1657450103,47.6666,-52.7314,clear sky,71,15.23,15.42,0,2.68
111,US,Sterling,1657450103,39.0062,-77.4286,broken clouds,94,18.79,20.68,75,3.09
112,CU,Bahía Honda,1657450103,22.9036,-83.1592,light rain,83,24.98,24.98,73,1.08
113,RE,Saint-Pierre,1657450104,-21.3393,55.4781,clear sky,60,22.96,23.82,0,13.89
114,RE,Saint-Philippe,1657450104,-21.3585,55.7679,scattered clouds,67,23.14,23.77,45,7.74
115,VE,Carupano,1657450104,10.6678,-63.2585,overcast clouds,90,24.97,24.97,96,3.8
116,GA,Omboué,1657450104,-1.5746,9.2618,broken clouds,59,25.91,25.91,64,4.15
117,TZ,Chake Chake,1657450104,-5.2459,39.7666,light rain,66,25.72,25.72,69,5.81
118,SS,Yambio,1657450104,4.5721,28.3955,overcast clouds,60,27.9,27.9,95,1.18
119,RU,Pokosnoye,1657450104,55.5258,101.0536,broken clouds,35,23.2,23.2,56,0.49
120,US,Russell,1657450104,32.3502,-85.1999,broken clouds,94,22.01,23.6,75,0
121,US,Hollister,1657450104,36.8525,-121.4016,clear sky,79,14.34,15.64,0,0
122,AU,Alyangula,1657450104,-13.8483,136.4192,scattered clouds,80,18.82,18.82,46,4.3
123,BR,Caravelas,1657450104,-17.7125,-39.2481,few clouds,81,22.71,22.71,16,2.68
124,KZ,Atasū,1657450104,48.6814,71.6433,broken clouds,38,25.24,25.24,80,6.17
125,US,Starkville,1657450104,33.4504,-88.8184,few clouds,100,21.83,21.93,20,0
126,JP,Katsuura,1657450104,35.1333,140.3,clear sky,95,24,24,4,3.08
127,BR,São João da Barra,1657450105,-21.6403,-41.0511,clear sky,79,19.05,19.05,1,4.26
128,RU,Severodvinsk,1657450028,64.5635,39.8302,broken clouds,42,26.06,26.06,52,2.78
129,IN,Puri,1657450105,19.8,85.85,moderate rain,77,31.29,31.29,100,4.95
130,RU,Nikolskoye,1657450105,59.7035,30.7861,overcast clouds,64,22.01,22.71,99,4.03
131,BR,Nova Olinda do Norte,1657450105,-3.8881,-59.0942,broken clouds,86,23.29,23.29,82,0.71
132,NZ,Whitianga,1657450105,-36.8333,175.7,moderate rain,90,15.09,15.09,100,4.6
133,AU,Broken Hill,1657450105,-31.95,141.4333,overcast clouds,50,9.78,9.78,99,2.23
134,RU,Kyshtovka,1657450105,56.555,76.6271,broken clouds,59,29.28,29.28,54,1.58
135,BR,Itarema,1657450105,-2.9248,-39.9167,overcast clouds,73,25.54,25.54,87,6.36
136,CO,Ábrego,1657450105,8.0807,-73.2205,overcast clouds,85,17.27,17.27,98,2.36
137,ZA,East London,1657449924,-33.0153,27.9116,clear sky,64,20.52,20.52,0,4.12
138,AU,Esperance,1657450105,-33.8667,121.9,scattered clouds,75,13.35,13.35,39,6.55
139,RU,Talnakh,1657449952,69.4865,88.3972,few clouds,37,13.45,13.45,16,5.96
140,MU,Souillac,1657450092,-20.5167,57.5167,scattered clouds,56,23.21,23.21,40,7.2
141,CD,Bosobolo,1657450106,4.1833,19.9,broken clouds,55,29.96,29.96,83,2.18
142,PH,Saguing,1657450106,6.9803,125.0781,overcast clouds,91,24.21,24.21,89,0.69
143,BR,Alta Floresta,1657450106,-9.8756,-56.0861,scattered clouds,63,21.33,21.33,44,1.22
144,JP,Nemuro,1657450106,43.3236,145.575,overcast clouds,99,13.89,13.89,100,3.42
145,NO,Raudeberg,1657450106,61.9875,5.1352,broken clouds,79,11.37,12.2,77,1.98
146,BR,Arraial do Cabo,1657450106,-22.9661,-42.0278,clear sky,83,21.92,21.92,0,5.14
147,CA,Sioux Lookout,1657450106,50.1001,-91.917,overcast clouds,100,18.04,18.04,100,4.12
148,RU,Saskylakh,1657449861,71.9167,114.0833,overcast clouds,60,12.6,12.6,94,3.81
149,PE,Hualmay,1657450106,-11.0964,-77.6139,broken clouds,87,15.66,15.66,63,3.89
150,ZA,Hermanus,1657449838,-34.4187,19.2345,moderate rain,91,13.16,13.16,100,4.16
151,PE,La Peca,1657450106,-5.6111,-78.435,overcast clouds,95,17.47,17.47,100,0.64
152,AR,General Roca,1657449969,-39.0333,-67.5833,overcast clouds,58,4.23,4.23,99,4.7
153,CN,Yumen,1657450106,40.2833,97.2,broken clouds,13,34.13,34.13,80,3.38
154,GL,Upernavik,1657449901,72.7868,-56.1549,scattered clouds,87,3.8,3.8,29,1.93
155,RU,Tymovskoye,1657449817,50.8456,142.655,broken clouds,90,19.7,19.7,73,3.66
156,NP,Khanbari,1657450107,27.3747,87.2039,broken clouds,78,27.66,27.66,72,2.18
157,US,Charleston,1657449860,32.7766,-79.9309,broken clouds,96,23.99,24.45,75,2.57
158,NG,Ilorin,1657449877,8.5,4.55,scattered clouds,69,28.2,28.2,40,5.14
159,RU,Khatanga,1657450107,71.9667,102.5,overcast clouds,42,13.84,13.84,99,4.02
160,US,Nome,1657450107,64.5011,-165.4064,clear sky,76,13.04,13.04,0,5.14
161,RU,Pevek,1657450107,69.7008,170.3133,overcast clouds,96,0,0,100,4.92
162,US,San Patricio,1657450107,28.017,-97.5169,scattered clouds,92,26.57,28.93,26,2.75
163,LK,Trincomalee,1657450107,8.5711,81.2335,overcast clouds,56,32.37,32.37,100,5.12
164,RU,Kodinsk,1657450107,58.6881,99.1844,broken clouds,46,25.31,25.31,69,2.61
165,GL,Qaanaaq,1657450107,77.484,-69.3632,overcast clouds,74,5.72,5.72,99,2.47
166,AU,Batemans Bay,1657450107,-35.7167,150.1833,broken clouds,84,11.72,11.72,83,2.8
167,RU,Srednekolymsk,1657450107,67.45,153.6833,overcast clouds,50,15.05,15.05,96,4.66
168,KZ,Kurchum,1657450107,48.5722,83.6542,broken clouds,31,27.2,27.2,56,3.61
169,BR,Rio Grande,1657450108,-32.035,-52.0986,scattered clouds,92,13.86,15.06,37,5.61
170,BY,Mazyr,1657450035,52.0495,29.2456,broken clouds,50,22.08,22.08,84,4.02
171,US,Fairbanks,1657450108,64.8378,-147.7164,light rain,91,16.53,18.11,75,1.54
172,IN,Rangāpāra,1657450108,26.8167,92.65,scattered clouds,61,34.34,34.34,40,1.69
173,RU,Beringovskiy,1657450108,63.05,179.3167,light rain,89,9.38,9.38,100,4.64
174,NA,Henties Bay,1657450108,-22.116,14.2845,clear sky,62,16.16,16.16,0,6.8
